178
954.0 -279.4 58.1,16 68 70 71,stand,,,
830.0 -26.2 64.0,16 69 71 168,stand,,,
1012.1 162.2 57.9,17 69 70 72,stand,,,
855.7 619.6 64.1,18 19 71,stand,,,
344.9 886.0 64.2,25 138,stand,,,
236.2 556.6 69.1,79 136,stand,,,
56.2 384.3 69.1,76 78,stand,,,
72.2 254.0 60.0,75 77 81,stand,,,
243.4 2.7 58.6,76 82 165 166,stand,,,
-127.6 397.1 69.1,75 79,stand,,,
-113.3 557.8 69.1,74 78 80,stand,,,
-111.6 698.5 67.9,32 79 137 138 143,stand,,,
-306.1 140.5 109.9,44 76,stand,,,
-303.2 -20.2 84.1,44 77 164,stand,,,
-1144.39 -602.416 106.125,48 84,stand,,,
-1115.33 -146.884 106.125,83 85 89,stand,,,
-892.921 -148.032 106.125,84 86 88,stand,,,
-719.971 -144.678 108.125,45 85,stand,,,
-929.286 233.201 106.125,41 88,stand,,,
-951.375 100.378 106.125,85 87 89 96 159,stand,,,
-1052.2 72.7632 108.125,84 88 90 159,stand,,,
-1238.46 81.5104 188.125,89 91,stand,,,
-1234.75 179.689 188.125,90 92,stand,,,
-1063.61 171.457 260.125,91 93,stand,,,
-1008.71 75.5739 258.125,92 94,stand,,,
-1107.76 -100.745 258.125,93 95 132,stand,,,
-1088.48 -557.626 258.125,94 174 175,stand,,,
-723.206 127.335 108.125,43 44 88,stand,,,
1539.88 -320.585 240.125,2 98,stand,,,
1593.29 -29.2221 241.631,97 99,stand,,,
1602.59 244.742 240.125,98 100,stand,,,
1636.76 371.924 240.125,99 101,stand,,,
1861.45 437.846 240.125,100 102,stand,,,
1843.93 557.03 240.125,101 103,stand,,,
1504.58 553.357 64.125,8 102,stand,,,
653.17 1675.32 64.125,26 105,stand,,,
338.784 1680.49 232.125,104 133,stand,,,
-919.398 1537.7 80.125,107 109 150,stand,,,
-928.311 1111.47 80.125,106 108 149,stand,,,
-696.488 1095.93 80.125,36 107,stand,,,
-787.781 1566.87 80.125,106 110,stand,,,
-754.274 1716.71 80.125,34 109,stand,,,
-736.201 1887.87 64.125,34 112 151 152,stand,,,
-454.293 1879.4 64.125,33 34 111 152,stand,,,
125.395 -451.579 58.6958,51 114 142,stand,,,
282.593 -447.87 68.125,113 115,stand,,,
304.311 -271.206 68.125,114 116,stand,,,
447.128 -292.167 68.125,115 117 118,stand,,,
437.415 -443.822 68.125,67 116,stand,,,
582.932 -297.811 126.125,116 119,stand,,,
561.586 -485.701 204.125,118 120,stand,,,
423.422 -470.754 204.125,119 135,stand,,,
1164.82 -1203.64 72.125,14 122 123 126,stand,,,
1064.12 -1299.76 72.125,121 123 125,stand,,,
1117.59 -1476.49 72.125,121 122 124,stand,,,
861.878 -1497.7 72.125,123 125,stand,,,
878.58 -1294.38 72.125,122 124,stand,,,
1210.99 -1231.4 72.125,121 127,stand,,,
1219.66 -1418.5 208.125,126 128,stand,,,
1160.28 -1512.65 208.125,127 129,stand,,,
942.009 -1504.82 208.125,128 130,stand,,,
833.342 -1397.96 208.125,129 131,stand,,,
970.478 -1207.91 208.125,130,stand,,,
-1204.89 -139.4 258.125,94 175,stand,,,
224.68 1655.62 232.125,105,stand,,,
-343.994 -1356.73 64.126,50 54,stand,,,
318.75 -353.28 204.125,120,stand,,,
257.431 690.616 64.125,25 74 137,stand,,,
47.2789 716.251 64.0938,80 136 138,stand,,,
-33.8218 876.465 59.4834,73 80 137 139,stand,,,
-23.3392 1238.14 65.3462,32 138 140,stand,,,
177.704 1381.07 68.125,27 139,stand,,,
-396.432 -536.617 64.125,46 142,stand,,,
-286.916 -450.197 60.7946,113 141,stand,,,
-461.366 794.809 69.9345,36 37 80,stand,,,
-635.695 -2201.31 65.9311,58,stand,,,
-786.044 -1020.43 64.125,146,stand,,,
-795.404 -941.476 64.125,49 145 147 173,stand,,,
-1189.17 -770.472 64.125,48 146,stand,,,
-1167.79 1007.58 64.125,39,stand,,,
-774.145 1348.36 80.125,107,stand,,,
-906.889 1714.62 80.125,106,stand,,,
-729.902 2271.71 64.125,111,stand,,,
-363.234 2077.51 64.125,33 111 112,stand,,,
1278.97 1643.56 64.125,154 155,stand,,,
1158.6 1651.21 64.125,4 153,stand,,,
1285.66 1414.64 64.125,4 153,stand,,,
1463.2 171.678 59.8727,9,stand,,,
1845.14 -723.622 72.2463,3,stand,,,
503.912 -1483.51 68.125,61,stand,,,
-1061.25 183.674 108.125,88 89 160,stand,,,
-1249.4 165.919 36.125,159 161,stand,,,
-1241.26 86.4991 36.125,160 162,stand,,,
-1065.87 72.8512 -45.875,161 163,stand,,,
-915.133 -96.6735 -45.875,162,stand,,,
-392.03 -329.834 66.0966,44 82 165,stand,,,
27.3564 -312.028 72.5837,77 164,stand,,,
371.422 5.76824 56.7981,77 167 168,stand,,,
370.625 565.466 64.1037,166 176,stand,,,
783.803 -17.2674 62.2281,70 166 169,stand,,,
780.618 562.606 64.125,168 176,stand,,,
616.66 402.933 198.125,171 177,stand,,,
457.82 263.535 198.125,170,stand,,,
1475.9 1101.39 64.125,5,stand,,,
-1064.81 -631.709 74.125,47 48 146 174,climb,6.68396 -10.9039 0.0,,
-1064.64 -582.439 260.125,95 173,climb,79.5453 106.381 0.0,,
-1238.46 -489.83 258.125,95 132,stand,,,
638.057 543.126 67.132,167 169 177,climb,-34.8169 37.1942 0.0,,
636.976 506.024 206.125,170 176,climb,63.3789 -95.1361 0.0,,
