285
-385.548 1556.6 0.124998,34 36 55 58,stand,,,
-456.2 1695.12 0.124998,35 57 58 172,stand,,,
-373.912 409.522 0.125002,30 38 53,stand,,,
-180.905 423.731 0.125002,37 39 29 30 28 53 56,stand,,,
-14.4129 435.896 0.124997,38 29 28 40,stand,,,
112.616 434.757 8.125,39 41 42,stand,,,
216.611 422.437 8.125,40 9,stand,,,
130.769 594.203 0.125,40 43,stand,,,
220.762 704.347 0.125,42 44 45,stand,,,
243.071 785.916 -0.809666,43 10 12 45 52 62 63,stand,,,
258.814 680.215 0.124999,44 43 46,stand,,,
262.396 510.151 80.125,45 47,stand,,,
112.894 515.398 144.125,46 48 50,stand,,,
122.374 699.878 144.125,47 49,stand,,,
261.739 688.749 144.125,48,stand,,,
19.5231 518.375 144.125,47 51,stand,,,
-5.32674 668.159 144.125,50,stand,,,
55.9945 782.928 0.125001,44 53 61 59,stand,,,
-187.063 781.561 0.125001,52 54 38 37 56 55,stand,,,
-367.988 788.666 0.125001,53 55 33 56,stand,,,
-310.271 1087.8 -7.875,54 34 35 59 61 53,stand,,,
-343.257 609.212 0.124998,54 38 53,stand,,,
-256.716 1734.9 -7.87498,36 58,stand,,,
-136.146 1430.28 0.125002,35 57 36 59,stand,,,
-112.829 1242.99 0.125,58 60 61 55 52,stand,,,
80.6442 1257.01 0.125,59 61 129,stand,,,
164.297 1041.34 0.125,60 59 55 52 62,stand,,,
338.727 999.84 -7.875,61 63 11 44 267,stand,,,
607.297 986.147 -11.0845,62 64 44 11 70 231,stand,,,
907.954 990.053 -15.0371,63 65 69 68 70,stand,,,
1216.03 990.481 -31.1326,64 66 67 68 69 104,stand,,,
1451.81 1010.73 -31.875,65 68 67 89 73 88 90,stand,,,
1406.82 838.814 -31.875,68 65 71 73 72 66,stand,,,
1192.42 829.828 -31.2391,69 67 64 66 65,stand,,,
959.76 824.433 -15.8058,68 64 65 70,stand,,,
738.865 841.104 -9.49058,69 11 63 64,stand,,,
1397.65 613.397 -24.0867,67 74 83 72 73,stand,,,
1472.32 608.433 -23.8812,73 83 67 74 71,stand,,,
1509.01 794.791 -31.875,72 67 85 71 88 66,stand,,,
1390.67 433.171 -23.875,71 75 78 82 72 83 81,stand,,,
1175.16 383.38 -11.8395,74 76 82,stand,,,
1131.45 271.41 -15.875,75 77,stand,,,
1164.95 201.3 -16.3309,76 78 80,stand,,,
1366.39 198.626 -21.7832,77 74 79 81,stand,,,
1365.21 63.5931 -20.3833,78 80 84 82,stand,,,
1146.48 -13.6524 -15.875,79 77 84,stand,,,
1456.26 104.825 -22.6385,78 82 84 74,stand,,,
1479.62 240.873 -23.6107,81 83 79 74 75,stand,,,
1474.63 436.833 -23.875,82 72 71 74,stand,,,
1339.82 -26.8521 -15.5235,81 80 79,stand,,,
1769.37 778.179 -23.875,73 86 88,stand,,,
1783.71 970.961 -23.875,87 85 88 89,stand,,,
1771.86 1211.39 -23.875,86 91 89 90,stand,,,
1579.16 948.149 -31.875,73 66 85 86 89 90,stand,,,
1599.69 1159.25 -31.875,87 66 88 90 91 86 101,stand,,,
1459.46 1358.59 -24.2751,89 66 88 101 105 87 92,stand,,,
1634.35 1509.15 -31.875,92 87 100 89,stand,,,
1564.05 1583.81 -31.875,100 91 101 90 93,stand,,,
1452.58 1748.85 -23.875,94 92 101 100 95,stand,,,
1471.91 1884.78 -31.875,117 95 93 100,stand,,,
1602.33 2011.11 -31.875,96 100 94 98 118 93,stand,,,
1748.35 1993.09 -23.875,99 95 97,stand,,,
1902.24 2036.67 -23.875,98 99 96,stand,,,
1902.43 2172.41 -23.875,95 97 118 193,stand,,,
1941.89 1923.41 -23.875,96 97,stand,,,
1642.58 1759.94 -31.875,95 92 91 93 94,stand,,,
1443.83 1538.22 -23.875,90 92 89 102 93,stand,,,
1322.02 1570.24 -23.875,101 105 106 117,stand,,,
1287.25 1217.92 -23.875,104 105 283,stand,,,
1179.06 1125.2 -23.875,103 65 283,stand,,,
1295.3 1342.61 -23.875,90 103 102,stand,,,
1108.63 1586.16 -7.875,102 107 115 116 284,stand,,,
1032.47 1454.39 0.125,106 108,stand,,,
1025.51 1307.16 72.125,107 109,stand,,,
1222.77 1298.71 144.125,108 110 114,stand,,,
1271.87 1429.4 144.125,109 111,stand,,,
1276.47 1648.39 144.125,110 112,stand,,,
1106.4 1725.42 144.125,111 113,stand,,,
1076.04 1576.28 144.125,112 114,stand,,,
1114.22 1426.19 144.125,113 109,stand,,,
1208.69 1335.94 -7.875,106 284,stand,,,
1059.17 1720.41 -7.875,106,stand,,,
1294.04 1829.22 -23.875,102 94 119 123 120 121,stand,,,
1470.1 2106.96 -23.875,95 98 119,stand,,,
1298.18 2102.23 -23.875,118 117 123 120,stand,,,
1061.26 1853.41 -39.8763,117 121 124 119,stand,,,
855.224 2066.16 -25.3965,120 123 117 124 122 176,stand,,,
912.748 2247.53 -30.7698,121 123 183 182 176,stand,,,
1112.37 2153.19 -23.875,119 117 121 124 122 183 186,stand,,,
891.01 1795.93 -39.912,120 121 123 125,stand,,,
863.61 1569.59 -39.875,124 126 127,stand,,,
896.537 1375.73 -7.875,125 229,stand,,,
672.881 1616.09 -39.875,125 128,stand,,,
437.948 1586.1 0.125,127 129 145,stand,,,
189.149 1550.38 0.124998,128 60 130 145,stand,,,
195.598 1726.87 0.124998,129 145 131,stand,,,
-35.9433 1737.34 -111.875,132 130,stand,,,
-30.7995 1913.25 -143.875,131 133,stand,,,
218.095 1973.54 -143.875,135 132,stand,,,
659.095 1914.69 -143.875,135 136 278,stand,,,
591.523 2030.34 -143.875,134 133 278,stand,,,
634.432 1806.42 -143.875,134 137,stand,,,
331.167 1809.68 8.125,138 136 138,stand,,,
342.896 1959.1 8.125,137 137 139 143,stand,,,
354.548 2066.98 8.125,138 140 141,stand,,,
348.865 2289.09 -23.875,139 179 216,stand,,,
637.548 2082.11 8.125,143 139 277,stand,,,
701.54 1945.55 8.125,143 277,stand,,,
602.221 1930.28 8.125,142 144 141 138,stand,,,
555.957 1738.06 8.125,143 145 146,stand,,,
389.199 1689.89 0.125,144 128 130 129 146,stand,,,
596.855 1679.08 8.125,144 145 147,stand,,,
730.453 1672.82 64.125,146 276,stand,,,
468.388 1861.25 160.125,149 152 274 275,stand,,,
321.739 1949.04 160.125,148 150 152 272,stand,,,
418.34 2074.45 160.125,149 151,stand,,,
508.446 2085.37 160.125,150 152 273,stand,,,
598.045 1923.57 160.125,151 148 149 153,stand,,,
702.574 1975.57 160.125,152 273 274,stand,,,
132.099 1932.26 160.125,155 272,stand,,,
-26.0457 1883.1 160.125,156 154,stand,,,
-155.741 1851.38 192.125,155 157,stand,,,
-296.607 1833.52 154.969,156 158,stand,,,
-479.967 1880.44 168.125,157 159,stand,,,
-623.606 1958.82 144.125,158 160 271,stand,,,
-744.575 1991.22 144.125,159 161 162,stand,,,
-858.195 2140.38 144.125,160,stand,,,
-853.872 1868.07 88.125,160 163,stand,,,
-812.692 1813.64 88.125,162 164,stand,,,
-667.095 1959.78 -7.875,163 165 228 269,stand,,,
-758.102 2066.92 -7.875,164 166 168,stand,,,
-890.069 1960.29 -7.875,165 169 170,stand,,,
-848.206 2187.87 -7.875,168 169,stand,,,
-783.459 2163.37 -7.875,167 165,stand,,,
-1022.77 2041.77 -7.875,167 166,stand,,,
-1030.28 1844.48 -15.875,166 173 174 175,stand,,,
-769.896 1645.81 -2.21373,172 173,stand,,,
-584.158 1612.83 0.124998,36 171,stand,,,
-921.348 1735.99 -14.9393,171 170 175,stand,,,
-1242.61 1721.56 -15.8879,170 175,stand,,,
-1145.63 1534.9 -13.6752,170 174 173,stand,,,
820.529 2425.47 -23.875,121 177 182 122 185,stand,,,
769.184 2477.89 -23.875,176 178 180 182 186,stand,,,
557.421 2481.83 -23.875,177 179,stand,,,
402.769 2428.04 -23.875,140 178 216,stand,,,
748.95 2410.03 -23.875,177 181,stand,,,
738.251 2201.79 -111.875,180 278,stand,,,
1053.19 2580.96 -28.4198,177 183 122 176 184 185 186,stand,,,
1082.93 2410.33 -23.875,122 182 123,stand,,,
1129.64 2736.15 -23.875,182 185 187 188,stand,,,
941.69 2832.15 -31.875,184 176 186 182 188 187 208 209 210 211,stand,,,
714.331 2630.23 -23.875,177 185 182 123 209,stand,,,
1324.72 2746.42 -23.875,184 189 185 188,stand,,,
1409.03 2877.03 -23.875,185 187 184 189 194,stand,,,
1479.64 2699.74 -23.875,187 188 190 194,stand,,,
1670.74 2637.38 -23.875,189 191 281,stand,,,
1738.85 2490.69 -23.875,190 192 281,stand,,,
1761.65 2340.73 -23.875,193 191,stand,,,
1871.58 2277.79 -23.875,192 98,stand,,,
1497.7 3015.55 -23.875,188 189 195,stand,,,
1443.52 3239.47 -23.875,194 280,stand,,,
1393.36 3496.76 -23.875,197 198 199 280,stand,,,
1417.24 3755.08 -23.875,199 196,stand,,,
1162.48 3576.22 -23.875,196 199 205 279,stand,,,
1122.89 3799.44 -23.875,200 197 196 198,stand,,,
878.609 3841.72 -23.875,201 199,stand,,,
661.795 3707.64 -23.875,200 202 204,stand,,,
671.599 3542 -23.875,205 201 203 204,stand,,,
700.481 3179.85 -23.875,206 202,stand,,,
374.008 3368.86 -23.875,201 206 202,stand,,,
1023.14 3500.81 -23.875,198 202,stand,,,
353.155 3142.22 -23.875,204 203 207,stand,,,
404.761 2998.67 -23.8751,206 208 211 210,stand,,,
639.646 2930.69 -23.8751,207 185 210,stand,,,
576.33 2625.17 -23.8925,186 210 185 211,stand,,,
360.874 2631.24 -23.9307,209 208 212 211 207 185,stand,,,
263.757 2862.19 -23.875,209 207 212 210 214 185,stand,,,
230.526 2636.37 -23.875,211 210 213 215 217,stand,,,
-77.1124 2698.09 -28.0808,212 214 215 219 220,stand,,,
-0.697809 2820.1 -23.875,211 213,stand,,,
-77.0031 2486.91 -31.875,213 212 217 220 219,stand,,,
213.715 2397.35 -23.875,140 217 179,stand,,,
63.82 2413.86 -23.875,215 212 216 218,stand,,,
29.3711 2119.05 -23.875,217,stand,,,
-284.25 2478.88 -31.875,213 221 215 220 226,stand,,,
-203.326 2236 -31.875,215 222 213 219 221 226,stand,,,
-448.672 2287.14 -31.875,219 222 220 223 227,stand,,,
-512.629 2184.77 -31.875,221 220 226 227 228,stand,,,
-818.715 2479.71 -23.875,221 225 227,stand,,,
-599.104 2705.5 -23.875,227,stand,,,
-943.542 2350.4 -22.686,223,stand,,,
-278.167 2139.05 -31.875,222 220 219 227,stand,,,
-656.636 2606.87 -23.875,226 224 223 222 221,stand,,,
-608.567 2071.59 -7.875,222 164,stand,,,
904.219 1311.27 0.125,126 230,stand,,,
681.185 1286.45 0.125,229 231 232,stand,,,
650.432 1232 0.125,63 230 241,stand,,,
498.817 1243.37 8.125,230 268,stand,,,
277.439 1218.84 8.125,234 268,stand,,,
260.842 1355.03 72.125,233 235,stand,,,
443.549 1371.64 160.125,234 236,stand,,,
478.313 1319.93 160.125,235 237,stand,,,
387.467 1288.51 160.125,236 238,stand,,,
372.449 1187.29 160.125,237 239,stand,,,
619.755 1201.17 152.125,238 240,stand,,,
923.945 1315.71 152.125,239 266,stand,,,
739.039 1218.97 8.125,231 266,stand,,,
684.272 662.551 8.125,12 243,stand,,,
802.576 628.001 8.125,242 244 282,stand,,,
816.079 429.304 8.125,243 245 246,stand,,,
954.822 376.481 8.125,244 261,stand,,,
693.508 427.399 40.125,244 247,stand,,,
707.681 362.476 40.125,246 248,stand,,,
891.393 360.088 128.125,247 249,stand,,,
898.797 435.879 128.125,248 250 260,stand,,,
891.073 588.951 160.125,249 251 252,stand,,,
714.443 650.426 160.125,250 252,stand,,,
927.49 667.116 160.125,251 250 253,stand,,,
1030.13 670.849 160.125,252 254 257,stand,,,
1062.05 552.16 160.125,253 255 257,stand,,,
1226.42 534.677 160.125,254 256 257,stand,,,
1231.66 703.267 160.125,255 257,stand,,,
1117.54 652.098 160.125,256 253 255 254,stand,,,
885.847 369.79 304.125,259,stand,,,
690.783 362.808 216.125,258 260,stand,,,
693.656 442.207 216.125,259 249,stand,,,
1022.44 372.418 -7.87499,245 262,stand,,,
971.369 201.797 -7.875,261 263 265,stand,,,
723.209 188.697 -7.875,262 26 264,stand,,,
728.921 30.168 -7.875,263 265,stand,,,
998.753 83.08 -7.875,262 264,stand,,,
925.868 1206.15 112.125,241 240,stand,,,
389.526 1087.22 8.125,62 268,stand,,,
386.771 1173.74 8.125,267 232 233,stand,,,
-563.448 1905.14 -7.875,164,stand,,,
-749.054 1769.45 144.125,271,stand,,,
-624.318 1881.74 144.125,270 159,stand,,,
254.15 1968.46 160.125,154 149,stand,,,
736.751 2116.24 160.125,153 151,stand,,,
705.204 1863.84 160.125,153 148,stand,,,
498.064 1742.8 160.125,148 276,stand,,,
750.881 1737.7 64.125,275 147,stand,,,
721.637 2084.51 8.125,142 141,stand,,,
728.852 2083.96 -143.875,181 134 135,stand,,,
1211.23 3298.02 -23.875,198 280,stand,,,
1404.21 3308.52 -23.875,279 196 195,stand,,,
1786.63 2674.51 -23.875,191 190,stand,,,
937.411 684.826 76.125,243,stand,,,
1032.64 1197.79 -23.875,104 103,stand,,,
1109.03 1339.79 -7.875,115 106,stand,,,
