209
445.39 -1501.97 1260.13,42 44 46 50,stand,,,
433.802 -1328.19 1260.13,43 45,stand,,,
439.701 -1186.64 1168.13,44 69 68 70,stand,,,
703.089 -1513.63 1260.13,43 47 48,stand,,,
898.239 -1563.2 1260.13,46,stand,,,
864.776 -1397.83 1260.13,46 49,stand,,,
1001.97 -1386.34 1260.04,48 59 192,stand,,,
449.69 -1826.13 1260.13,43 51,stand,,,
729.957 -1992.01 1271.82,52 53 50,stand,,,
729.239 -2041.22 1273.01,51,stand,,,
774.896 -1994.68 1284.13,51 54,stand,,,
973.81 -1994.85 1260.13,53 63,stand,,,
1308.56 -2315.01 1192.13,56 57,stand,,,
1094.19 -2326.67 1208.64,55,stand,,,
1314.01 -2006.37 1196.28,55 62 63,stand,,,
1165.89 -1811.65 1192.9,60 63 62,stand,,,
1101.2 -1418.94 1222.13,49 60 192,stand,,,
1164.06 -1522.63 1192.92,58 59 61 64,stand,,,
1338.43 -1268.09 1192.13,60 64 65,stand,,,
1489.88 -1804.99 1192.56,57 58 64,stand,,,
1159.27 -2000.93 1194.91,58 57 54,stand,,,
1493.06 -1530.34 1192.13,60 61 62,stand,,,
1335.21 -1204.55 1168.13,61 72 71,stand,,,
-155.144 -997.894 1156.25,41 67 68 183,stand,,,
-298.41 -934.974 1168.13,66,stand,,,
50.3795 -999.447 1155.42,66 41 69 24 45 183,stand,,,
386.185 -1025.23 1156.35,45 24 68 70,stand,,,
702.864 -939.58 1159.22,69 24 45 71,stand,,,
1001.34 -930.756 1159.01,70 72 65 192 202,stand,,,
1335.78 -944.561 1156.68,71 65 73 110 192,stand,,,
1563.69 -946.909 1161.13,72 197,stand,,,
1817.13 -1044.86 1160.11,75 197,stand,,,
2038.98 -1042.71 1213.13,74 76,stand,,,
2094.58 -994.901 1213.13,75 77,stand,,,
2071.26 -788.204 1237.13,78 79 76,stand,,,
2109.48 -741.318 1241.13,77,stand,,,
1950.97 -715.947 1237.13,77 80 208,stand,,,
1949.92 -662.954 1264.13,79 81,stand,,,
1947.61 -314.471 1264.13,80 82 84,stand,,,
1834.32 -301.89 1264.13,81 83,stand,,,
1715.65 -304.893 1353.13,82 200,stand,,,
2107.02 -318.083 1264.13,81 85,stand,,,
2168.07 -294.526 1242.13,84 86,stand,,,
2210.83 -230.755 1213.13,85 88,stand,,,
2205.87 33.5786 1168.13,88 95 97 98 206,stand,,,
2218.39 -120.753 1168.13,86 87 96,stand,,,
2191.46 884.488 1168.13,90 101 206,stand,,,
1779.51 862.412 1168.13,89 91,stand,,,
1792.29 578.651 1168.13,90 92 93,stand,,,
1707.3 578.643 1168.13,91,stand,,,
1783.74 301.724 1168.13,91 94 190,stand,,,
1944.03 288.305 1168.13,93 95 99,stand,,,
1948.48 38.5741 1168.13,94 87 96,stand,,,
1956.48 -124.554 1168.13,95 88 100,stand,,,
2251.72 -3.70053 1177.39,87,stand,,,
2135.52 -17.9963 1168.13,87,stand,,,
2048.78 350.511 1168.13,94,stand,,,
1697.95 7.27122 1168.13,96,stand,,,
2178.29 1203.64 1168.13,89 102 103,stand,,,
2250.31 1114.12 1168.13,101,stand,,,
1955.32 1212.58 1170.13,101 104,stand,,,
1739.52 1178.26 1157.58,103 105 106 162,stand,,,
1869.15 1115.51 1161.06,104,stand,,,
1509.07 1172.38 1157.22,104 107,stand,,,
1497.65 594.441 1164.23,106 190,stand,,,
1372.73 332.156 1164.51,190 119,stand,,,
1540.63 -113.476 1165.49,114 190,stand,,,
1296.24 -318.417 1160.87,111 114 72,stand,,,
1107.24 -303.903 1168.12,110 112,stand,,,
1104.47 -207.038 1168.03,111 113 115,stand,,,
706.991 -207.13 1168.13,112 116,stand,,,
1294.31 -119.604 1148.28,110 109 115,stand,,,
1083.59 -63.4927 1145.08,114 112 116 119,stand,,,
708.465 -13.6186 1172.13,115 113 117,stand,,,
719.949 260.487 1172.13,116 118,stand,,,
477.216 503.387 1172.13,117 29 199,stand,,,
1032.73 409.225 1099.13,120 115 108,stand,,,
983.28 625.237 1098.36,119 121 122,stand,,,
776.153 786.544 1099.31,120 122 185 198,stand,,,
844.326 1099.7 1099.25,121 120 161 195,stand,,,
-321.796 815.187 1162.92,34 124 132,stand,,,
-313.526 1067.91 1166.09,123 170 193,stand,,,
-45.468 1242.62 1168.13,126 129 193,stand,,,
-48.458 1507.14 1168.13,125 127 128,stand,,,
-119.064 1507.08 1168.13,126,stand,,,
-48.2887 1660.04 1168.13,126 170 176,stand,,,
139.804 1242.84 1168.13,125 130,stand,,,
143.262 1508.68 1168.13,129 131 186,stand,,,
283.886 1242.94 1168.13,130,stand,,,
-558.018 805.314 1163.13,123 133,stand,,,
-936.429 865.397 1162.8,132 134 135,stand,,,
-947.497 793.515 1165.99,133,stand,,,
-938.315 1276.63 1166.17,133 136,stand,,,
-944.887 1665.64 1167.97,135 137 138,stand,,,
-776.393 1667.19 1166.86,136 138,stand,,,
-710.954 1873.29 1167.17,136 137 172 174 173,stand,,,
-1.03755 2460.87 1192.13,143 187,stand,,,
795.295 2539.81 1192.13,141 188,stand,,,
753.342 2360.37 1192.13,140 142 169,stand,,,
613.934 2268.65 1192.13,141 143,stand,,,
-128.995 2346.5 1192.13,142 139 144,stand,,,
-129.816 2291.33 1208.13,143 174,stand,,,
1135.85 1818.51 1162.07,146 166,stand,,,
1136 1716.74 1216.48,145 147,stand,,,
1070.98 1633.85 1216.28,146 148 151,stand,,,
925.655 1633.92 1216.74,147 149,stand,,,
925.211 1591.41 1216.13,148 150,stand,,,
925.248 1457.87 1114.13,149 156,stand,,,
1058.79 1375.76 1217.13,147 194,stand,,,
923.641 1565.74 1352.13,153 194,stand,,,
928.596 1656.58 1352.13,152 154,stand,,,
1061.04 1650.49 1352.13,153 155,stand,,,
1035.11 1423.31 1352.13,154,stand,,,
1225.97 1400.56 1114.76,150 157 159,stand,,,
1178.09 1630.84 1115.98,156 158,stand,,,
960.877 1651.6 1114.08,157,stand,,,
1226.28 1318.91 1112.13,156 160,stand,,,
1225.57 1281.53 1100.13,159 195,stand,,,
765.662 1260.86 1104.52,122 180 195,stand,,,
1721.31 1745.22 1155.54,104 165 189,stand,,,
1506.04 2390.42 1159.5,164 165,stand,,,
1104.71 2358.66 1153.45,163 167 166,stand,,,
1676.04 2026.13 1154.16,162 163 166,stand,,,
1137.63 1912.31 1152.14,145 165 179 167 164,stand,,,
934.033 2113.96 1152.76,164 168 179 166,stand,,,
868.452 2213.31 1163.3,167 169,stand,,,
818.634 2273.18 1202.13,168 141,stand,,,
-303.004 1661.71 1165.99,124 171 128 172 176,stand,,,
-382.559 1696.89 1167.07,170,stand,,,
-318.539 1855.5 1165.13,170 138 173,stand,,,
-226.26 2019.94 1159.92,172 174 175 176 138,stand,,,
-170.921 2162.96 1165.42,173 144 175 138,stand,,,
80.0763 1946.67 1159.38,173 174 176 177,stand,,,
-25.7287 1797.23 1166.18,175 128 170 173 177,stand,,,
259.247 1786.74 1166.46,176 178 186 175,stand,,,
585.171 1806.31 1164.94,177 179 180,stand,,,
769.854 1894.86 1157.21,178 180 167 166,stand,,,
783.713 1739.45 1163.23,179 178 161,stand,,,
312.565 -1441.93 1260.13,42,stand,,,
-125.065 -1339.74 1205.1,40 41,stand,,,
-169.675 -872.072 1168.13,66 68 184,stand,,,
-125.491 -605.96 1168.13,37 183,stand,,,
324.77 789.536 1122.65,33 121 198,stand,,,
149.828 1635.01 1168.13,130 177,stand,,,
498.034 2408.47 1192.13,139 188,stand,,,
615.258 2553.2 1192.13,187 140,stand,,,
1833.85 1761.56 1164.13,162,stand,,,
1520.16 311.658 1165.35,93 108 109 107,stand,,,
422.741 -382.183 1171.13,25 20,stand,,,
1032.79 -1291.42 1219.2,71 49 59 72,stand,,,
-128.858 1068.34 1168.13,124 125,stand,,,
922.17 1401.86 1217.13,151 152,stand,,,
1120.58 1198.7 1100.13,160 122 161,stand,,,
842.117 -552.826 1295.13,3 203 204,stand,,,
1689.57 -992.29 1160.25,73 74 207,stand,,,
488.205 720.125 1101.9,199 185 121,climb,4.58679 -87.8229 0,,
488.205 697.664 1172.13,198 118,climb,4.58679 -87.8449 0,,
1604.18 -378.073 1354.18,83 201,stand,,,
1608.54 -558.821 1352.13,200,stand,,,
966.387 -814.125 1168.13,203 71,climb,3.62 87.6287 0,,
968.206 -794.73 1311.13,196 202,climb,4.77905 87.8869 0,,
1081.42 -319.039 1295.13,196,stand,,,
242.328 -385.853 1303.13,3,stand,,,
2170.1 488.324 1168.13,87 89,stand,,,
1831.96 -801.125 1160.13,197 208,climb,-1.51062 90.8257 0,,
1831.95 -777.25 1237.13,79 207,climb,-0.878906 90.7598 0,,
