220
458.906 -185.354 0.124997,66 69,stand,,,
470.396 -534.097 0.124997,68 70 72 71,stand,,,
629.869 -539.427 0.108546,69 200 199,stand,,,
506.354 -579.852 0.125,69,stand,,,
54.8344 -537.743 0.124997,69 73 74,stand,,,
54.2439 -715.582 0.124999,72 80,stand,,,
-63.166 -504.192 0.124998,72 75 76,stand,,,
-140.966 -580.997 0.124998,74,stand,,,
-73.8549 -374.975 2.31065,74 33 78,stand,,,
90.4091 -83.4176 0.125001,65 78 64 79,stand,,,
-90.8697 -134.916 0.107843,77 64 65 79 76 138,stand,,,
11.2864 -275.044 0.124997,77 33 78,stand,,,
-190.864 -778.621 0.125,73 85 82,stand,,,
-155.929 -1096.35 0.125,82 169,stand,,,
-268.918 -1089.9 0.125,81 83 80,stand,,,
-455.85 -1077.78 0.125,82 84 86,stand,,,
-480.559 -877.781 0.124997,83 85 87,stand,,,
-476.333 -789.976 0.582206,84 80 87,stand,,,
-477.555 -1176.59 0.125,83,stand,,,
-714.108 -818.16 1.13564,85 84 88 89,stand,,,
-682.259 -696.428 5.9072,87,stand,,,
-887.709 -689.03 0.636553,87 90 91 147,stand,,,
-1058.63 -935.806 1.63866,89,stand,,,
-1057.24 -696.55 0.340997,89,stand,,,
1847.45 831.337 1.35763,93 97 98 100 194,stand,,,
2088.29 829.718 1.27545,92 94 96,stand,,,
2087.87 1066.72 1.28023,93 95 97,stand,,,
2160.07 1086.18 2.12925,94,stand,,,
2196.14 821.209 3.32561,93,stand,,,
1842.05 1052.66 0.0302776,94 92 100 98,stand,,,
1679.63 844.744 -1.03201,92 99 100 101 102 97,stand,,,
1671.02 753.592 1.34005,98,stand,,,
1638.98 966.438 -0.0525621,97 98 102 101 92,stand,,,
1452.37 898.847 11.6321,98 102 100 107,stand,,,
1429.84 1022.44 -1.77159,101 100 98 103,stand,,,
1140.56 963.716 2.125,102 104,stand,,,
1054.71 964.494 -7.39564,103 105 108 109,stand,,,
1069.07 1124.14 6.40568,104 106 109,stand,,,
1221.01 1102.35 9.01728,105,stand,,,
1252.63 815.608 0.786611,44 101 108,stand,,,
1024.04 814.262 1.07257,107 104 109,stand,,,
708.887 1041.82 1.40345,108 105 104 110 111 112,stand,,,
500.187 1104.55 0.124998,109 111 112 113,stand,,,
500.772 945.975 0.124998,110 109,stand,,,
534.164 1260.48 0.124998,110 109,stand,,,
337.617 1114.69 0.125001,110 114 115 116,stand,,,
366.862 1281.86 0.125001,113,stand,,,
333.632 942.466 0.125001,113,stand,,,
105.603 962.319 -5.74098,113 117 118,stand,,,
49.0523 1198.76 0.124998,116,stand,,,
-174.292 952.506 0.124998,116 119 120,stand,,,
-204.518 783.147 -0.442585,118 13 125,stand,,,
-282.604 1145.13 2.3964,118 121,stand,,,
-556.509 1128.09 0.0860045,120 122 123,stand,,,
-583.061 1182.86 0.070594,121,stand,,,
-576.178 881.459 0.124998,124 121 125 126,stand,,,
-578.027 701.556 0.125001,123,stand,,,
-376.363 795.051 -11.2744,123 119,stand,,,
-763.311 819.608 -3.52719,123 127 130,stand,,,
-773.487 688.391 14.125,126 128,stand,,,
-772.454 526.454 23.6716,127 129,stand,,,
-773.534 350.996 -5.09994,128 137 166 167,stand,,,
-1063.24 766.959 -0.906971,126 131,stand,,,
-1349.75 887.73 0.34169,130 132 133,stand,,,
-1313.01 1009.43 0.144205,131,stand,,,
-1560.47 760.301 -0.586027,131 134 135 136,stand,,,
-1655.59 966.686 0.156246,133,stand,,,
-1661.92 681.11 0.124949,133,stand,,,
-1651.14 509.211 0.167147,133 158 157 159,stand,,,
-565.6 191.987 0.125001,129 138 168,stand,,,
-555.074 -90.882 -2.84309,137 78 145,stand,,,
-276.057 -355.692 160.125,41 42 41 140,stand,,,
-408.437 -356.913 160.125,141 139 142,stand,,,
-392.37 -49.2397 160.125,140 43,stand,,,
-426.607 -411.279 161.125,140 143,stand,,,
-429.826 -545.729 80.125,142 144,stand,,,
-605.264 -549.35 -1.55927,143 145 147,stand,,,
-615.393 -421.268 -0.566905,138 144 146 147,stand,,,
-844.678 -358.988 0.0148534,145,stand,,,
-888.673 -518.671 0.0338047,89 145 144 148,stand,,,
-1347.47 -396.678 -1.06837,147 149 150,stand,,,
-1352.35 -548.902 -0.734118,148,stand,,,
-1608.93 -382.448 -0.962751,148 151 152 153,stand,,,
-1537.38 -245.467 0.125,150,stand,,,
-1828.36 -286.919 0.124999,150 153 154,stand,,,
-1874.97 -400.473 0.124999,152 150,stand,,,
-1811.77 -112.55 0.476028,152 155 162 161,stand,,,
-1894.53 -110.684 0.795236,154,stand,,,
-1550.62 172.978 -0.581259,157 162,stand,,,
-1511.87 368.549 0.125001,156 158 136 163,stand,,,
-1694.26 370.179 0.124997,157 136 161 162,stand,,,
-1844.68 509.203 0.124997,136 160 161,stand,,,
-1901.99 532.211 0.124997,159,stand,,,
-1853.81 350.066 0.124997,159 158 162 154,stand,,,
-1738.32 157.136 -2.2,158 161 156 154,stand,,,
-1361.82 365.58 0.0367905,157 164 165 166 167,stand,,,
-1367.24 255.028 0.0367905,163,stand,,,
-1397.88 522.117 0.0539138,163,stand,,,
-1199.16 238.241 0.0870652,163 129,stand,,,
-1152.04 547.906 0.953791,163 129,stand,,,
-646.174 528.879 8.88265,137,stand,,,
61.1068 -1087.02 -30.9055,81 170,stand,,,
241.119 -1098.69 10.0968,169 171 172,stand,,,
466.179 -1140 17.2632,170 172 173 174,stand,,,
393.171 -1011.36 73.9618,170 171 38 173,stand,,,
562.14 -1058.98 16.8467,172 171 174,stand,,,
741.088 -1120.74 -35.875,173 171 175,stand,,,
1051.11 -1045.5 -35.875,174 176 177,stand,,,
1166.3 -1148.74 -47.6546,175,stand,,,
1126.82 -852.775 -35.875,175 178 179,stand,,,
1112.17 -727.97 -31.6177,177 179 196,stand,,,
1340.57 -802.851 -35.875,177 178 180,stand,,,
1637.15 -811.456 -35.875,179 181 182 218,stand,,,
1613.38 -928.118 -46.3586,180,stand,,,
1970.39 -794.005 -35.875,180 183 184 185,stand,,,
1990.34 -631.124 1.125,182 186,stand,,,
2202.65 -932.095 -48.7971,182,stand,,,
2201.87 -697.397 -46.2118,182,stand,,,
1996.85 -458.918 6.05739,183 187 188 193,stand,,,
2191.43 -505.87 0.66518,186,stand,,,
2061.41 -113.255 -4.875,186 189,stand,,,
1939.17 149.081 12.125,188 190 191 192,stand,,,
1871.71 268.688 -0.112048,189 0 194,stand,,,
2225.92 158.627 12.125,189,stand,,,
1807.23 157.489 12.125,0 189 193 210 211,stand,,,
1846.08 -156.128 -4.93528,192 186,stand,,,
1860.16 677.257 0.810373,190 92 195,stand,,,
2205.62 683.056 0.122695,194,stand,,,
1000.65 -629.971 1.125,178 197,stand,,,
991.304 -558.555 1.03662,196 198 199,stand,,,
1063.89 -484.542 0.566612,197 201,stand,,,
837.59 -588.768 0.708157,197 200 70,stand,,,
651.134 -380.034 1.90483,199 70 217,stand,,,
1337.98 -498.117 -2.34233,198 202 203,stand,,,
1647.11 -528.614 -0.500327,201 219,stand,,,
1328.54 -394.656 12.125,201 204,stand,,,
1316.98 -196.93 -5.72829,203 205 207 208,stand,,,
1525.92 -200.062 -4.875,204 206,stand,,,
1642.66 -286.384 2.34323,205,stand,,,
1339.92 -117.597 -5.10205,204,stand,,,
1229.48 -65.916 -5.93084,204 209 214,stand,,,
1394.78 27.696 -4.87727,208 210,stand,,,
1574.3 48.2744 -1.61571,209 211 192,stand,,,
1581.1 263.28 5.27158,210 212 192 213,stand,,,
1682.18 277.694 7.40677,211,stand,,,
1048.43 260.551 1.54284,211 214 216,stand,,,
1036.16 5.94329 -4.875,213 208 215,stand,,,
853.003 16.3214 -4.875,214 216 217,stand,,,
669.631 161.126 0.125,215 213 56,stand,,,
808.769 -205.889 -0.0945382,215 200,stand,,,
1615.5 -656.125 -47.7026,180 219,climb,1.24695 88.8794 0,,
1615.5 -627.613 1.125,218 202,climb,-1.58203 90.2032 0,,
